08/02/2023 12:57:15
User name: Mateus
Comments: 
Number	time(s)	mass(g)	Relative_mass(%)	Sample_T(C)	PV(C)	SV(C)
435.0	866.009	0.2358	97.76119	65.75	103.0	68.0
451.0	898.009	0.2359	97.80265	65.0	102.0	68.0
470.0	936.009	0.236	97.84411	64.25	100.0	68.0
483.0	962.009	0.2358	97.76119	63.75	100.0	68.0
495.0	986.009	0.2359	97.80265	63.25	99.0	68.0
506.0	1008.009	0.2359	97.80265	62.75	99.0	68.0
516.0	1028.009	0.2359	97.80265	62.25	99.0	68.0
527.0	1050.009	0.2359	97.80265	61.75	99.0	68.0
542.0	1080.009	0.2359	97.80265	61.25	98.0	71.0
555.0	1106.009	0.2358	97.76119	60.75	98.0	73.0
568.0	1132.009	0.2359	97.80265	60.25	96.0	75.0
579.0	1154.009	0.2363	97.96849	59.75	96.0	77.0
593.0	1182.009	0.2361	97.88557	59.25	96.0	79.0
607.0	1210.009	0.236	97.84411	58.75	95.0	81.0
615.0	1226.009	0.236	97.84411	58.5	95.0	83.0
631.0	1258.009	0.2359	97.80265	58.0	95.0	85.0
649.0	1294.009	0.236	97.84411	57.5	95.0	88.0
870.0	1738.147	0.2355	97.63682	79.25	128.0	126.0
872.0	1742.147	0.2356	97.67828	79.5	128.0	126.0
874.0	1746.147	0.2356	97.67828	79.75	128.0	126.0
876.0	1750.147	0.2355	97.63682	80.0	128.0	127.0
878.0	1754.147	0.2354	97.59536	80.25	129.0	127.0
880.0	1758.147	0.2354	97.59536	80.5	129.0	127.0
883.0	1764.15	0.2356	97.67828	80.75	129.0	128.0
885.0	1768.15	0.2353	97.5539	81.0	129.0	128.0
887.0	1772.15	0.2354	97.59536	81.25	129.0	128.0
888.0	1774.15	0.2354	97.59536	81.5	129.0	129.0
889.0	1776.15	0.2353	97.5539	81.75	129.0	129.0
891.0	1780.15	0.2352	97.51244	82.0	131.0	129.0
892.0	1782.15	0.2352	97.51244	82.25	132.0	129.0
893.0	1784.15	0.2353	97.5539	82.5	132.0	129.0
895.0	1788.15	0.2354	97.59536	82.75	132.0	130.0
896.0	1790.15	0.2354	97.59536	83.0	132.0	130.0
897.0	1792.15	0.2354	97.59536	83.25	133.0	130.0
899.0	1796.15	0.2353	97.5539	83.5	133.0	130.0
900.0	1798.15	0.2354	97.59536	83.75	133.0	131.0
902.0	1802.15	0.2354	97.59536	84.0	134.0	131.0
903.0	1804.15	0.2354	97.59536	84.25	134.0	131.0
906.0	1810.15	0.2353	97.5539	84.5	134.0	132.0
908.0	1814.15	0.2353	97.5539	84.75	134.0	132.0
909.0	1816.15	0.2353	97.5539	85.0	134.0	132.0
911.0	1820.15	0.2352	97.51244	85.25	134.0	132.0
913.0	1824.15	0.2351	97.47098	85.5	134.0	133.0
917.0	1832.15	0.235	97.42952	85.75	134.0	133.0
918.0	1834.15	0.2349	97.38806	86.0	136.0	134.0
920.0	1838.15	0.2348	97.3466	86.25	136.0	134.0
921.0	1840.15	0.2348	97.3466	86.5	136.0	134.0
924.0	1846.15	0.235	97.42952	86.75	137.0	135.0
926.0	1850.15	0.235	97.42952	87.0	137.0	135.0
928.0	1854.15	0.235	97.42952	87.25	137.0	135.0
931.0	1860.15	0.2351	97.47098	87.5	137.0	136.0
932.0	1862.15	0.2351	97.47098	87.75	137.0	136.0
934.0	1866.15	0.235	97.42952	88.0	138.0	136.0
935.0	1868.15	0.2349	97.38806	88.25	138.0	136.0
937.0	1872.15	0.2349	97.38806	88.5	138.0	137.0
940.0	1878.15	0.2348	97.3466	89.0	140.0	137.0
942.0	1882.15	0.2348	97.3466	89.25	140.0	138.0
943.0	1884.15	0.2348	97.3466	89.5	140.0	138.0
944.0	1886.15	0.2349	97.38806	89.75	141.0	138.0
946.0	1890.15	0.2348	97.3466	90.0	141.0	138.0
948.0	1894.15	0.2348	97.3466	90.25	141.0	139.0
949.0	1896.15	0.2348	97.3466	90.5	141.0	139.0
951.0	1900.15	0.2348	97.3466	90.75	141.0	139.0
953.0	1904.15	0.2346	97.26368	91.0	142.0	139.0
955.0	1908.15	0.2346	97.26368	91.25	142.0	140.0
959.0	1916.15	0.2347	97.30514	91.5	142.0	141.0
961.0	1920.15	0.2347	97.30514	91.75	142.0	141.0
963.0	1924.15	0.2347	97.30514	92.0	142.0	141.0
965.0	1928.15	0.2347	97.30514	92.25	142.0	142.0
967.0	1932.15	0.2347	97.30514	92.5	143.0	142.0
968.0	1934.15	0.2347	97.30514	92.75	143.0	142.0
969.0	1936.15	0.2347	97.30514	93.0	143.0	142.0
970.0	1938.15	0.2347	97.30514	93.25	143.0	142.0
972.0	1942.15	0.2347	97.30514	93.5	145.0	143.0
973.0	1944.15	0.2346	97.26368	93.75	145.0	143.0
975.0	1948.15	0.2346	97.26368	94.0	146.0	143.0
976.0	1950.15	0.2346	97.26368	94.25	146.0	143.0
978.0	1954.15	0.2346	97.26368	94.5	146.0	144.0
979.0	1956.151	0.2346	97.26368	94.75	146.0	144.0
981.0	1960.151	0.2346	97.26368	95.0	146.0	144.0
983.0	1964.151	0.2345	97.22222	95.25	147.0	145.0
985.0	1968.151	0.2344	97.18076	95.5	147.0	145.0
987.0	1972.151	0.2344	97.18076	95.75	147.0	145.0
989.0	1976.151	0.2345	97.22222	96.0	147.0	146.0
992.0	1982.151	0.2344	97.18076	96.25	147.0	146.0
993.0	1984.151	0.2344	97.18076	96.5	147.0	146.0
996.0	1990.151	0.2343	97.1393	96.75	147.0	147.0
997.0	1992.151	0.2342	97.09784	97.0	148.0	147.0
998.0	1994.151	0.2342	97.09784	97.25	148.0	147.0
1000.0	1998.151	0.2341	97.05638	97.5	148.0	147.0
1001.0	2000.151	0.2341	97.05638	97.75	150.0	148.0
1002.0	2002.151	0.2341	97.05638	98.0	150.0	148.0
1003.0	2004.151	0.2341	97.05638	98.25	150.0	148.0
1005.0	2008.151	0.2341	97.05638	98.5	151.0	148.0
1006.0	2010.151	0.2341	97.05638	98.75	151.0	148.0
1007.0	2012.151	0.2341	97.05638	99.0	151.0	149.0
1009.0	2016.151	0.2342	97.09784	99.25	151.0	149.0
1011.0	2020.151	0.2341	97.05638	99.5	152.0	149.0
1012.0	2022.151	0.2341	97.05638	99.75	152.0	149.0
1015.0	2028.151	0.2341	97.05638	100.0	152.0	150.0
1017.0	2032.151	0.234	97.01493	100.25	152.0	150.0
1019.0	2036.151	0.234	97.01493	100.5	152.0	151.0
1022.0	2042.153	0.234	97.01493	100.75	152.0	151.0
1023.0	2044.153	0.2339	96.97347	101.0	152.0	151.0
1026.0	2050.153	0.2338	96.93201	101.25	152.0	152.0
1027.0	2052.153	0.2338	96.93201	101.5	153.0	152.0
1029.0	2056.153	0.2339	96.97347	101.75	153.0	152.0
1030.0	2058.153	0.2338	96.93201	102.0	153.0	152.0
1031.0	2060.153	0.2338	96.93201	102.25	155.0	153.0
1033.0	2064.153	0.2337	96.89055	102.5	155.0	153.0
1034.0	2066.153	0.2337	96.89055	102.75	155.0	153.0
1036.0	2070.153	0.2337	96.89055	103.0	156.0	153.0
1037.0	2072.153	0.2337	96.89055	103.25	156.0	154.0
1039.0	2076.153	0.2337	96.89055	103.5	156.0	154.0
1041.0	2080.153	0.2338	96.93201	103.75	156.0	154.0
1044.0	2086.153	0.2337	96.89055	104.0	156.0	155.0
1046.0	2090.153	0.2338	96.93201	104.25	156.0	155.0
1048.0	2094.153	0.2337	96.89055	104.5	156.0	155.0
1050.0	2098.153	0.2337	96.89055	104.75	157.0	156.0
1051.0	2100.153	0.2337	96.89055	105.0	157.0	156.0
1052.0	2102.153	0.2336	96.84909	105.25	157.0	156.0
1054.0	2106.153	0.2335	96.80763	105.5	158.0	156.0
1055.0	2108.153	0.2335	96.80763	105.75	158.0	157.0
1057.0	2112.153	0.2335	96.80763	106.0	158.0	157.0
1058.0	2114.153	0.2334	96.76617	106.25	158.0	157.0
1060.0	2118.153	0.2334	96.76617	106.5	159.0	157.0
1061.0	2120.153	0.2334	96.76617	106.75	159.0	158.0
1062.0	2122.153	0.2334	96.76617	107.0	159.0	158.0
1064.0	2126.153	0.2333	96.72471	107.25	161.0	158.0
1066.0	2130.153	0.2333	96.72471	107.75	161.0	158.0
1068.0	2134.153	0.2333	96.72471	108.0	161.0	159.0
1070.0	2138.153	0.2333	96.72471	108.25	161.0	159.0
